headword,transliteration,meaning_en,part_of_speech
सौजामि,saujāmi,fr. su-jAmi) N. of a man A1s3vGr2.,m.
सौडल,sauḍala,with upADyAya) N,m.
सौढामित्रि,sauḍhāmitri,patr,m.
सौण्डी,sauṇḍī,w.r. for SORqI q.v.,
सौत,sauta,fr. sUta g. saMkalAdi.,mfn.
सौतंगम,sautaṃgama,mf(I)n,mf
सौतिक्य,sautikya,fr. sUtika) g. purohitAdi.,n.
सौत्थिति,sautthiti,patr,m.
सौत्य,sautya,fr. sutya and sutyA) relating or devoted to Somasoma-pressing (with ahan n. a day devoted to Somasoma-pressing ) S3rS.,mfn.
सौत्र,sautra,mf(I)n,mf
सौत्रामण,sautrāmaṇa,mf(I)n,mf
सौत्वन,sautvana,patr,n.
सौत्सुक्य,sautsukya,mf(A)n,mf
सौदक्ष,saudakṣa,fr. su-dakza) g. saMkalAdi.,mfn.
सौदत्त,saudatta,fr. su-datta) g. saMkalAdi.,mfn.
सौदन्ति,saudanti,fr. su-danta) a patr. Pan5cavBr.,m.
सौदर्य,saudarya,fr. sodara) brotherly or sisterly S3ak. (v.l.,mfn.
सौदर्शन,saudarśana,fr. su-darSana) N. of a village of the Ba1hi1kasbAhIkas Pa1n2. 4-2,m.
सौदामनी,saudāmanī,fr. su-dAman,f.
सौदायिक,saudāyika,fr. su-dAya) that which is given to a woman at her marriage by her father or mother or any relative and therefore becomes her property Da1yabh.,mfn.
सौदास,saudāsa,fr. su-dAs and su-dAsa) N. of various kings (esp. of a son of king Su-da1sasu-dAsa,m.
सौदेव,saudeva,fr. su-deva) patr. of Divo-da1sadivo-dAsa MBh.,m.
सौद्युम्नि,saudyumni,patr,m.
सौध,saudha,fr. suDA) having plaster or cement,mfn.
सौधन्य,saudhanya,derived from SudhanasuDana Cat.,mfn.
सौधन्वन,saudhanvana,"son of SudhanvansuDanvan , a R2ibhufBu RV.",m.
सौधर्म,saudharma,fr. su-Darma) having rectitude,m.
सौधात,saudhāta,the offspring of a Bra1hmanBrahman and a Bhr2ijja-kan2t2hi1Bfjja-kaRWI L.,m.
सौधातकि,saudhātaki,patr,m.
सौधार,saudhāra,?) m,m.
सौधृतेय,saudhṛteya,patr,m.
सौधोतकि,saudhotaki,a patr,m.
सौन,sauna,fr. sUnA,mfn.
सौनन्द,saunanda,fr. su-nanda and ndA) N. of the club of Bala-ra1mabala-rAma L.,n.
सौनव्य,saunavya,patr,m.
सौनहोत्र,saunahotra,incorrect for SOn.,
सौनाग,saunāga,pl. the school of Suna1gasunAga Pat.,m.
सौनामि,saunāmi,patr,m.
सौनीतेय,saunīteya,fr. su-nIti) metron. of DhruvaDruva Ka1s3i1Kh.,m.
सौनेत्र,saunetra,fr. su-netra) g. saMkalAdi.,mfn.
सौन्दर्य,saundarya,"fr. sundara) beauty, loveliness, gracefulness, elegance Ka1v.",n.
सौप,saupa,fr. sup) relating to the case-terminations Pa1n2. 4-3,mfn.
सौपथि,saupathi,patr,m.
सौपर्ण,sauparṇa,mf(I)n,mf
सौपर्य,sauparya,fr. supari) g. saMkASAdi.,mfn.
सौपर्व,sauparva,fr. su-parvan) Pa1n2. 6-4,mfn.
सौपस्तम्बि,saupastambi,a patr,m.
सौपाक,saupāka,a partic,m.
सौपातव,saupātava,only pl.) a patr,m.
सौपामायनि,saupāmāyani,patr,m.
सौपिक,saupika,fr. sUpa) sprinkled with sauce Pa1n2. 4-4,mfn.
सौपिङ्गल,saupiṅgala,fr. su-piNgala) g. saMkalAdi.,mfn.
सौपिष्ट,saupiṣṭa,g. SivAdi) and sOpizwi (Pravar.) m. patr. fr. su-pizwa.,m.
सौपुष्पि,saupuṣpi,patr,m.
सौपूत,saupūta,fr. su-pUta) g. saMkalAdi.,mfn.
सौप्तिक,sauptika,fr. supta) connected with or relating to sleep,mfn.
सौप्रख्य,sauprakhya,patr,m.
सौप्रजास्त्व,sauprajāstva,= su-pr,n.
सौप्रतीक,saupratīka,fr. su-pratIka) relating or belonging to an elephant L.,mfn.
सौबल,saubala,fr. su-bala) patr. of S3akuniSakuni MBh.,m.
सौभ,saubha,also written SOBa) N. of the aerial city of Hari-s3candrahari-Scandra (q.v.) MBh.,m.
सौभकि,saubhaki,N. of Drupadadrupada MW.,m.
सौभग,saubhaga,fr. suBaga) auspicious,mfn.
सौभद्र,saubhadra,relating to Subhadra1suBadrA (q.v.) Pa1n2,mfn.
सौभर,saubhara,mf(I)n,mf
सौभव,saubhava,N. of a grammarian Cat.,m.
सौभाग्य,saubhāgya,"&c , see col.2.",
सौभाञ्जन,saubhāñjana,= (or w.r,m.
सौभासिक,saubhāsika,fr. su-BAsa) splendid DivyA7v.,mfn.
सौभिक,saubhika,cf. SO) a juggler L.,m.
सौभिक्ष,saubhikṣa,fr. su-Bikza) bringing security and abundance of food VarBr2S.,mfn.
सौभूत,saubhūta,fr. su-BUta) g. saMkalAdi.,mfn.
सौभेषज,saubheṣaja,consisting of the Su-bheshajassu-Bezajas (q.v.) GopBr.,mfn.
सौभ्रव,saubhrava,N. of two Sa1manssAmans A1rshBr.,n.
सौभ्रात्र,saubhrātra,"fr. su-BrAtf) good brotherhood, fraternity MBh.",n.
सौम,sauma,fr. soma,mfn.
सौमङ्गल,saumaṅgala,fr. su-maNgola) g. saMkalAdi.,mfn.
सौमतायन,saumatāyana,patr,m.
सौमदायन,saumadāyana,only pl.) patr,m.
सौमन,saumana,fr. su-mana,n.
सौमन्त,saumanta,taught or enjoined by Su-mantusu-mantu Ya1jn5,mfn.
सौमन्त्रिण,saumantriṇa,fr. su-mantrin) having a good minister Hit. (v.l.,n.
सौमात्र,saumātra,patr,m.
सौमित्र,saumitra,fr. su-mitrA) metron. of Lakshman2alakzmaRa L.,m.
सौमिलिक,saumilika,or n,m.
सौमिल्ल,saumilla,N. of a poet (also written sOmila and sOmalla,m.
सौमिवि,saumivi,?) m,m.
सौमिश्रि,saumiśri,?) m,m.
सौमुक्तिवाद,saumuktivāda,N. of a Nya1yanyAya wk.,m.
सौमुख्य,saumukhya,"fr. su-muKa) cheerfulness, delight in (comp.) Bcar.",n.
सौमुचि,saumuci,pl. a patr. Sam2ska1rak.,m.
सौमेचक,saumecaka,prob,n.
सौमेध,saumedha,fr. su-meDa,n.
सौमेरव,saumerava,mf(I)n,mf
सौम्य,saumya,"&c , see col.1.",
सौयज्ञक,sauyajñaka,fr. su-yajYa) g. arIhaRAdi.,mfn.
सौयवस,sauyavasa,fr. su-yavasa) abundance of grass S3a1n3khBr.,n.
सौयामि,sauyāmi,a patr,m.
सौयामुन,sauyāmuna,pl. (fr. su-yAmuRa) a patr. Sam2ska1rak.,m.
सौर,saura,fr. surA) consisting of spirituous liquor,mfn.
सौर,saura,mf(I)n. (fr. 1. sUra and sUrya,mf
सौरटी,sauraṭī,v.l. for sOrAwI above.,
सौरण,sauraṇa,fr. sUraRa q.v.) S3a1rn3gS.,mfn.
सौरत,saurata,fr. su-rata) relating to sexual enjoyment BhP.,mfn.
सौरथ,sauratha,said to be metron,m.
सौरथेय,sauratheya,said to be metron,m.
सौरपि,saurapi,?) m,m.
सौरभ,saurabha,fr. su-raBi) fragrant BhP.,mfn.
सौरस,saurasa,fr. su-rasa,mfn.
सौरसेन,saurasena,pl. N. of a people (= SUra-sena) Cat.,m.
सौराज्य,saurājya,"fr. su-rAjan) good sovereignty, good government Ragh.",n.
सौराव,saurāva,salted broth (cf,m.
सौराष्ट्र,saurāṣṭra,"mf(A, or I)n",mf
सौरिक,saurika,fr. surA,mfn.
सौरिन्ध्र,saurindhra,pl. N. of a people VarBr2S.,m.
सौरोहिक,saurohika,metron,m.
सौर्वल,saurvala,w.r. for sOvarcala Sus3r.,
सौलक्षण्य,saulakṣaṇya,fr. su-lakzaRa) the possession of auspicious marks Katha1s.,n.
सौलभ,saulabha,fr. su-laBa) written or composed by Su-labhasu-laBa Pa1n2. 4-3,mfn.
सौलोह,sauloha,fr. next) g. kaRvAdi.,mfn.
सौल्विक,saulvika,See SOlbika,
सौव,sauva,fr. sva) relating to self or to one's own property Vop.,mfn.
सौव,sauva,"fr. svar) heavenly, celestial VS.",mfn.
सौवक्षसेय,sauvakṣaseya,patr,m.
सौवर,sauvara,fr. svara) relating to or treating of sound or accent S3Br.,mfn.
सौवर्चनस,sauvarcanasa,a patr,m.
सौवर्चल,sauvarcala,fr. su-varcala,mfn.
सौवर्चस,sauvarcasa,fr. su-varcas) shining,m.
सौवर्ण,sauvarṇa,"mf(I, or A)n. (fr. su-varRa, of which it is also the Vr2iddhivfdDi form in comp.) made or consisting of gold, golden S3rS.",mf
सौवल्य,sauvalya,See sObalya,
सौवश्व,sauvaśva,a patr,m.
सौवस्तिक,sauvastika,fr. sv-asti) benedictive,mfn.
सौवात,sauvāta,fr. svAti) Pa1n2. 4-2,mfn.
सौवादुमृदव,sauvādumṛdava,fr. svAdu-mfdu) sweetness and gentleness Pa1n2. 7-3,n.
सौवास,sauvāsa,fr. su + 1. vAsa) a fragrant species of Tulasi1tulasI L.,m.
सौवासिनी,sauvāsinī,= su-vAsinI A1s3vGr2.,f.
सौवास्तव,sauvāstava,mf(I)n,mf
सौविद,sauvida,fr. suvida) a guard or attendant on the women's apartments L.,m.
सौविष्टकृत्,sauviṣṭakṛt,dedicated to or treating of Agniagni Svisht2a-kr2itsvizwa-kft A1s3vGr2.,mfn.
सौवीर,sauvīra,pl. (fr. su-vIra) N. of a people inhabiting a district in the neighbourhood of the Indusindus MBh.,m.
सौव्रत्य,sauvratya,fr. su-vrata) faith,n.
सौशब्द,sauśabda,or sOSabdya m. (fr. suSabda) the right formation of nominal and verbal forms (by case-terminations and tense-terminations,m.
सौशब्द्य,sauśabdya,or sOSabda m. (fr. suSabda) the right formation of nominal and verbal forms (by case-terminations and tense-terminations,m.
सौशमि,sauśami,fr. su-Sama) a patr. Pa1n2. 2-4,m.
सौशर्मक,sauśarmaka,fr. su-Sarman) g. arIhaRAdi.,mfn.
सौशल्य,sauśalya,pl. N. of a people (v.l. sObalya) MBh.,m.
सौशिल्य,sauśilya,w.r. for next Pan5car.,
सौशील्य,sauśīlya,"fr. su-SIla) excellence of disposition, good morals R.",n.
सौश्रव,sauśrava,fr. su-Srava,m.
सौश्रिय,sauśriya,fr. su-SrI) great fortune or happiness Sam2ska1rak.,n.
सौश्रुत,sauśruta,composed or written by Su-s3rutasu-Sruta Cat.,mfn.
सौश्रोमतेय,sauśromateya,a patr,m.
सौषद्मन,sauṣadmana,a patr,m.
सौषध,sauṣadha,fr. 7. sa + ozaDi,mfn.
सौषाम,sauṣāma,fr. su-zAman) N. of a Sa1mansAman A1rshBr.,n.
सौषिर,sauṣira,fr. su-zira) a partic. disease of the teeth Sus3r.,m.
सौषुप्त,sauṣupta,mf(A)n. (fr. su-zupta,mf
सौषुम्ण,sauṣumṇa,fr. su-zumRa) a kind of sunbeam VP.,m.
सौष्टव,sauṣṭava,w.r. for next.,
सौष्ठव,sauṣṭhava,"fr. su-zWu) excellence, superior goodness or beauty, extreme skilfulness, cleverness MBh.",n.
सौष्मिकि,sauṣmiki,pl. a patr. Sam2ska1rak.,m.
सौसाम,sausāma,patr,m.
सौसायन,sausāyana,g. arIhaRAdi.,mfn.
सौसुक,sausuka,N. of a place Pa1n2. 4-2,mfn.
सौसुम्न,sausumna,incorrect for sOzumRa.,
सौसुराद,sausurāda,a kind of worm Car.,m.
सौस्त्र,saustra,fr. su-strI) g. yuvAdi.,n.
सौस्थित्य,sausthitya,fr. su-sTita) an auspicious situation VarBr2S.,n.
सौस्नातिक,sausnātika,fr. su-snAta) one who asks whether an ablution has been successful or auspicious Ragh. vi,mfn.
सौस्वर्य,sausvarya,fr. su-svara) euphony S3am2k.,n.
सौस्सल,saussala,relating or belonging to Sussalasussala Ra1jat.,mfn.
सौहविष,sauhaviṣa,fr. su-havis) N. of various Sa1manssAmans A1rshBr.,n.
सौहार्द,sauhārda,"fr. su-hfd) good-heartedness, affection, friendship for or with (gen. or loc.) S3a1n3khS3r.",n.
सौहित्य,sauhitya,"fr. su-hita) satiety, satisfaction S3a1n3khS3r.",n.
सौहोत्र,sauhotra,fr. su-hotra) patr. of the Vedic R2ishisfzis Aja-mi1d2haaja-mIQa and Puru-mi1d2hapuru-mIQa RAnukr.,m.
सौह्म,sauhma,a king of the Suhmassuhmas Pa1n2,m.
स्कन्द्,skand,"cf. skanD and skund) cl.1 P. (Dha1tup. xxiii, 10) skandati (mc. also te",mfn.
स्कन्दिलाचार्य,skandilācārya,N. of a preceptor Cat.,m.
स्कन्ध्,skandh,sometimes written skand) cl.10 P,
स्कन्ध,skandha,accord,m.
स्कन्न,skanna,See col.2.,
स्कम्भ्,skambh,or skaB (prob. a mere phonetic variety of stamB q.v.,
स्कभ्,skabh,or skamB (prob. a mere phonetic variety of stamB q.v.,n.
स्कवन,skavana,see danta-sk,
स्कु,sku,"cl.5.9. P. A1. (Dha1tup. xxxi, 6 Pa1n2. 3-1, 82) skunoti, skunute",mfn.
स्कुन्द्,skund,"= skand) cl.1 A1. skundate, to jump (Apravane, or Aplavane) Dha1tup. ii, 8",
स्कुम्भ्,skumbh,in native lists written skunB,
स्कृ,skṛ,= 1. kf,
स्कृधोयु,skṛdhoyu,See /a-skf.,
स्कोटिका,skoṭikā,prob,
स्कोनगर,skonagara,N. of a village of the Ba1hi1kasbAhIkas,n.
स्खद्,skhad,cl.1 A1. sKadate (pf. casKade,n.
स्खल्,skhal,"cl.1 P. (Dha1tup. xv, 37) sKalati (rarely te",m.
स्खुड्,skhuḍ,v.l. for sTuq q.v.,
स्तक्,stak,to strike against Dha1tup,
स्तन्,stan,"cf. 2. tan) cl.1 P. (Dha1tup. xiii, 18) stanati (once in BhP. -stanase",m.
स्तनुतृ,stanutṛ,?) TPra1t.,
स्तबक,stabaka,accord. to L. also n.,m.
स्तब्ध,stabdha,"&c , see p",
स्तभ,stabha,a goat or ram (cf,m.
स्तम्,stam,see 1,
स्तम्ब,stamba,prob,m.
स्तम्भ्,stambh,or staB (connected with skamB q.v.,
स्तभ्,stabh,or stamB (connected with skamB q.v.,mfn.
स्तर,stara,"staraRa,stariman &c , see p",
स्तरी,starī,nom. /Is acc. y/am,f.
स्तव,stava,or n,m.
स्तव,stava,"stavaka &c , see p",
स्तवत्,stavat,only in nom. sg. stav/An,mfn.
स्तवरक,stavaraka,"a fence, railing (perh",m.
स्ताघ,stāgha,shallow (See a-stAGa).,mfn.
स्तामन्,stāman,of unknown meaning,m.
स्तामु,stāmu,doubtful,mfn.
स्तायत्,stāyat,y/u,
स्ति,sti,only in acc. pl. st/In,m.
स्तिघ्,stigh,"cl.5 P. stiGnoti (accord. to Dha1tup. xxvii, 18 A1. stiGnute",
स्तिप्,stip,cf. step) cl.1 A1. stepate,
स्तिपा,stipā,See above under st/i.,
स्तिभि,stibhi,"a clump, bunch, tuft (cf",m.
स्तिम्,stim,"or stIm (cf. tim) cl.4 P. stimyati or stImyati, to be or become wet or moist Dha1tup. xxvi, 17",
स्तीम्,stīm,"or stim (cf. tim) cl.4 P. stimyati or stImyati, to be or become wet or moist Dha1tup. xxvi, 17",mfn.
स्तिया,stiyā,stagnant water,f.
स्तिरे,stire,See 1,
स्तीम्,stīm,"see stim, p",mfn.
स्तीर्ण,stīrṇa,"&c , see p",
स्तीर्वि,stīrvi,said to be fr,m.
स्तु,stu,"cl.2 P. A1. (Dha1tup. xxiv, 34",mfn.
स्तु,stu,"prob. invented to serve as a root for the words below) , to be clotted or conglomerated",m.
स्तुक,stuka,= toka,
स्तुच्,stuc,to be bright or propitious (prasAde) Dha1tup,
स्तुनक,stunaka,cf. stuBa) a goat L.,m.
स्तुभ्,stubh,"connected with 1. stu and stumB) cl.1 P. (Naigh. iii, 14) st/oBati (only in pres. base",mfn.
स्तुभ,stubha,N. of an Agniagni MBh.,m.
स्तुम्प्,stump,See pra-s-tump,
स्तुम्भ्,stumbh,cf. stamB and stuB,
स्तुव,stuva,or n,m.
स्तुवेय,stuveya,stuzeyya,
स्तू,stū,See Ayata- and Grita-stU.,
स्तूणाकर्ण,stūṇākarṇa,w.r. for sTUR q.v.,
स्तूप्,stūp,"prob. invented as a root for stUpa below) cl.4.10. P. stUpyati, or stUpayati, to heap up, pile, erect Dha1tup. xxvi, 127",m.
स्तृ,stṛ,"or stF). cl.5.9. P. A1. (Dha1tup. xxvii, 6",
स्तॄ,stṝ,"or stf). cl.5.9. P. A1. (Dha1tup. xxvii, 6",m.
स्तृ,stṛ,"See spf, p",
स्तृक्ष्,stṛkṣ,cf. tfkz) cl.1 P. stfkzati,
स्तृण,stṛṇa,See BU-stfRa.,
स्तृह्,stṛh,or stFh (cf,
स्तॄह्,stṝh,or stfh (cf,
स्तेग,stega,of unknown meaning,m.
स्तेन्,sten,"prob. Nom. fr. stena below) cl.10 P. (Dha1tup. xxxv, 43) stenayati, to steal, rob Mn. viii, 333",m.
स्तेप्,step,"cf. stip) cl.1 A1. stepate, to flow Dha1tup. x, 4",
स्तेम,stema,See p,
स्तै,stai,"to put on, adorn (v.l. for snE q.v.) Dha1tup. xxii, 25",m.
स्तैमित्य,staimitya,See p,
स्तो,sto,See Gfta-sto.,
स्तोक,stoka,"&c , see p",
स्तोतव्य,stotavya,"stotra &c , see p",
स्तोब्धव्य,stobdhavya,"stoBa &c , see p",
स्तोम्,stom,"See stomaya, p",
स्तौन,stauna,of unknown meaning,mfn.
स्तौपिक,staupika,See col.1.,
स्तौभिक,staubhika,See col.1.,
स्तौला,staulā,of unknown meaning,f.
स्त्येन,styena,"a thief, robber (cf",m.
स्त्यै,styai,"to be collected into a heap or mass Dha1tup. xxii, 14",f.
स्त्राट,strāṭa,?) Pan5cad.,
स्त्रि,stri,?) = 2,
स्त्रितमा,stritamā,stri-tarA,
स्त्री,strī,"perhaps for sUtrI, or sotrI, bearer of children , fr. 2. sU",f.
स्थ,stha,See p,
स्थकर,sthakara,= sTagara below Kaus3.,
स्थग्,sthag,"to cover, hide, concealDha1tup. xix, 28 : Caus. sTagayati id. Ka1v.",mfn.
स्थगणा,sthagaṇā,the earth L.,f.
स्थडु,sthaḍu,See sTagu above.,m.
स्थण्डिल,sthaṇḍila,of unknown derivation,n.
स्थपति,sthapati,See p,
स्थपनी,sthapanī,the space between the eye-brows (v.l,f.
